ID,Fato Histórico,Verdadeiro?,Curiosidade
443,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
444,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
445,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
446,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
447,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
448,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
449,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
450,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
451,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
452,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
453,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
454,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
455,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
456,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
457,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
458,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
459,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
460,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
461,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
462,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
463,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
464,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
465,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
466,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
467,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
468,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
469,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
470,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
471,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
472,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
473,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
474,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
475,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
476,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
477,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
478,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
479,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
480,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
481,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
482,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
483,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
484,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
485,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
486,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
487,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
488,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
489,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
490,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
491,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
492,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
493,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
494,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
495,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
496,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
497,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
498,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
499,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
500,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
501,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
502,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
503,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
504,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
505,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
506,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
507,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
508,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
509,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
510,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
511,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
512,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
513,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
514,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
515,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
516,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
517,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
518,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
519,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
520,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
521,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
522,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
523,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
524,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
525,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
526,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
527,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
528,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
529,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
530,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
531,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
532,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
533,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
534,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
535,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
536,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
537,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
538,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
539,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
540,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
541,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
542,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
543,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
544,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
545,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
546,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
547,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
548,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
549,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
550,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
551,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
552,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
553,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
554,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
555,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
556,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
557,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
558,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
559,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
560,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
561,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
562,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
563,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
564,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
565,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
566,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
567,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
568,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
569,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
570,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
571,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
572,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
573,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
574,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
575,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
576,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
577,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
578,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
579,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
580,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
581,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
582,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
583,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
584,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
585,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
586,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
587,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
588,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
589,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
590,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
591,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
592,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
593,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
594,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
595,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
596,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
597,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
598,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
599,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
600,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
601,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
602,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
603,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
604,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
605,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
606,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
607,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
608,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
609,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
610,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
611,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
612,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
613,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
614,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
615,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
616,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
617,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
618,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
619,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
620,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
621,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
622,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
623,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
624,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
625,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
626,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
627,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
628,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
629,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
630,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
631,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
632,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
633,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
634,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
635,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
636,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
637,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
638,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
639,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
640,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
641,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
642,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
643,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
644,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
645,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
646,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
647,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
648,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
649,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
650,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
651,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
652,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
653,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
654,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
655,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
656,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
657,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
658,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
659,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
660,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
661,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
662,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
663,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
664,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
665,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
666,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
667,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
668,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
669,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
670,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
671,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
672,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
673,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
674,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
675,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
676,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
677,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
678,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
679,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
680,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
681,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
682,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
683,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
684,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
685,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
686,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
687,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
688,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
689,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
690,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
691,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
692,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
693,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
694,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
695,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
696,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
697,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
698,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
699,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
700,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
701,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
702,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
703,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
704,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
705,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
706,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
707,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
708,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
709,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
710,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
711,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
712,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
713,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
714,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
715,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
716,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
717,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
718,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
719,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
720,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
721,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
722,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
723,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
724,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
725,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
726,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
727,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
728,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
729,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
730,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
731,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
732,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
733,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
734,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
735,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
736,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
737,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
738,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
739,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
740,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
741,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
742,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
743,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
